Festival Name,Start Date,End Date
NY Portuguese Short Film Festival,5/21/20,5/22/20
NYC Downtown Short Film Festival,6/10/20,6/13/20
NYC Short Documentary Film Festival,3/22/20,3/22/20
Oak Cliff Hill Film Festival,6/4/20,6/7/20
OgeeChee International History Film Festival,2/27/20,2/29/20
Oil Valley Film Festival,9/4/20,9/6/20
Oklahoma Cine Latino Film Festival,3/6/20,3/7/20
Olympia Film Festival,4/17/20,4/25/20
Omaha Film Festival,3/3/20,3/8/20
One Screen Short Film Festival,2/26/20,2/26/20
Oneota Film Festival,2/13/20,2/16/20
Onion City Experimental Film + Video Festival,3/12/20,3/15/20
Orcas Island Film Festival ,10/8/20,10/12/20
Oregon Independent Film Festival ,9/15/20,9/30/20
Oregon Short Film Festival,2/14/20,2/16/20
